web-scraper-order,web-scraper-start-url,nama-produk,harga-produk,diskon-produk
"1700673178-1","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Duo Banana Koko Krunch 150G","Rp 13.500","50%
Rp 27.000"
"1700673178-2","https://www.klikindomaret.com/category/sereal","Kellogg's Cereal Corn Flakes Classic 150G","Rp 15.900","33%
Rp 23.700"
"1700673178-3","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Combo Pack Koko Krunch 30G","Rp 7.500","18%
Rp 9.200"
"1700673178-4","https://www.klikindomaret.com/category/sereal","Simba Cereal Choco Chips Coklat 170G","Rp 20.200","10%
Rp 22.500"
"1700673178-5","https://www.klikindomaret.com/category/sereal","Energen Cereal & Susu Instant Vanilla 5X32G","Rp 11.500",""
"1700673178-6","https://www.klikindomaret.com/category/sereal","Energen Cereal Instant Kacang Hijau 10X35G","Rp 23.300",""
"1700673178-7","https://www.klikindomaret.com/category/sereal","Energen Sereal & Susu Cokelat 10X34g","Rp 23.300",""
"1700673178-8","https://www.klikindomaret.com/category/sereal","Energen Sereal & Susu Cokelat 5X34g","Rp 11.500",""
"1700673178-9","https://www.klikindomaret.com/category/sereal","Energen Sereal & Susu Vanila 10X32g","Rp 23.300",""
"1700673178-10","https://www.klikindomaret.com/category/sereal","Kellogg's Cereal Froot Loops 150G","Rp 25.600",""
"1700673178-11","https://www.klikindomaret.com/category/sereal","Milo Cereal Balls Coklat 70G","Rp 11.700",""
"1700673178-12","https://www.klikindomaret.com/category/sereal","Milo Cereal Balls Combo Pack Coklat 30G","Rp 9.100",""
"1700673178-13","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Combo Onpack Koko Krunch 2X32G","Rp 14.100",""
"1700673178-14","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Combo Pack Honey Stars 30G","Rp 9.100",""
"1700673178-15","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","Rp 9.100",""
"1700673178-16","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Honey Stars 70G","Rp 12.500",""
"1700673178-17","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Koko Krunch 150g","Rp 23.300",""
"1700673178-18","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Koko Krunch 300g","Rp 42.700",""
"1700673178-19","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Koko Krunch 70G","Rp 9.700",""
"1700673178-20","https://www.klikindomaret.com/category/sereal","Nestle Cereal Breakfast Trix Honey Stars 150G","Rp 22.100",""
"1700673178-21","https://www.klikindomaret.com/category/sereal","Quaker Instant Oatmeal (Reff) Merah 200G","Rp 14.100",""
"1700673178-22","https://www.klikindomaret.com/category/sereal","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","Rp 27.200",""
"1700673178-23","https://www.klikindomaret.com/category/sereal","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","Rp 27.200",""
"1700673178-24","https://www.klikindomaret.com/category/sereal","Quaker Oatmeal Instant Merah 800G","Rp 49.700",""
"1700673178-25","https://www.klikindomaret.com/category/sereal","Simba Cereal Choco Chips + Kalsium Susu Coklat 37G","Rp 7.900",""
"1700673178-26","https://www.klikindomaret.com/category/sereal","Simba Cereal Choco Chips + Kalsium Susu Putih 37G","Rp 7.900",""
"1700673178-27","https://www.klikindomaret.com/category/sereal","Simba Cereal Choco Chips Cokelat 55G","Rp 9.300",""
"1700673178-28","https://www.klikindomaret.com/category/sereal","Simba Cereal Choco Chips Strawberry 37G","Rp 7.900",""
"1700673178-29","https://www.klikindomaret.com/category/sereal","Simba Cereal Choco Chips Strawberry 55G","Rp 9.300",""
